"id","eudractNumber","randomised","double_blind","therapeutic_area","condition_is_diabetes","subjects_exposed_total","nonserious_ae_count","deaths_total","mortality_percent","condition_text"
"2006-002529-21-ES","2006-002529-21",0,0,"Unknown",0,NA,NA,NA,NA,"Pacientes con cncer de mama metastsico CMm o localmente recurrente LR HER2 negativo que no han recibido quimioterapia previa para el CMm o LC. Locally recurrent or metastatic breast cancer."
"2011-005334-20-BE","2011-005334-20",0,0,"Diseases C - Cancer C04",0,1436,13706,658,45.8217270194986,"Advanced breast cancer metastatic or locally recurrent"
"2012-001628-37-BE","2012-001628-37",0,0,"Diseases C - Cancer C04",0,2183,200,1149,52.6339899221255,"HER2-positive metastatic breast cancer"
"2013-004679-11-IT","2013-004679-11",1,1,"Diseases C - Cancer C04",0,225,107,1,0.444444444444444,"HER2-Positive Breast Cancer Early Stage"
"2014-001458-40-BE","2014-001458-40",0,0,"Diseases C - Cancer C04",0,412,2791,87,21.1165048543689,"HER2POSITIVE METASTATIC OR LOCALLY RECURRENT ADVANCED BREAST CANCER"
"2015-000380-13-BE","2015-000380-13",1,0,"Diseases C - Cancer C04",0,618,143,468,75.7281553398058,"Metastatic or Locally Advanced HER2-positive Breast Cancer"
"2016-003984-20-DE","2016-003984-20",1,0,"Diseases C - Cancer C04",0,458,108,417,91.0480349344978,"Advanced or Metastatic Gastric Cancer"
"2018-000221-31-BE","2018-000221-31",1,0,"Diseases C - Cancer C04",0,599,140,229,38.2303839732888,"Unresectable/metastatic breast cancer with human epidermal growth factor receptor 2 HER2-positive expression"
"2020-004035-24-BE","2020-004035-24",1,1,"Diseases C - Cancer C04",0,111,18,0,0,"High-Risk, Node-Positive, HR+, HER2+ Breast Cancer"
"2005-002084-85-DK",NA,1,0,"Unknown",0,NA,NA,NA,NA,"Patients with HER2 positive metastatic breast cancer and progression after previous treatment with trastuzumab"
"2012-003679-21-DE",NA,0,0,"Diseases C - Cancer C04",0,NA,NA,NA,NA,"Early primary breast cancer, hormone receptor positve or negative, HER2 negative, any nodal status"
"2021-000603-21-ES",NA,1,0,"Diseases C - Cancer C04",0,NA,NA,NA,NA,"Early stage HER2-positive breast cancer T stage  T3, lymph node positive, or inflammatory"
